Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
29,2020,CT,Mixed,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Lumbar Vertebrae; Sacrum; Hip Bones,Voxel Mask,1184,,Open,Allowed,CC BY 4.0; CC BY-NC-SA 4.0; inconsistency between download page and paper descriptions
30,2024,CT,Original,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae,Voxel Mask,55,Age; Gender,Open,Allowed,CC BY 4.0
31,2016,CT,Original,Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Vertebrae; Lumbar Vertebrae,Voxel Mask,20,Age; Gender; Orthopedic Relevant Condition,Open,Allowed,ODC-By v1.0
32,2024,CT,Original,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Sacrum; Hip Bones,Voxel Mask,100,,Open,Allowed,CC BY 4.0
33,2024,CT,Adopted,Abdomen,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Proximal Femur,Voxel Mask,9262,,Open,Allowed,CC BY-NC-SA 4.0
34,2022,CT,Original,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg; Knee; Lower Leg,Proximal Femur,Voxel Mask,150,,Open,Allowed,GNU v3.0; GNU General Public License v3.0
35,2023,CT,Original,Neurocranium; Viscerocranium; Cervical Spine; Shoulder,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,Facial Bones,Voxel Mask,140,Age; Gender; Clinical Condition,Open,Unknown,N/A
36,2024,CT,Mixed,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Proximal Femur,Voxel Mask,413,Gender; Clinical Condition,Restricted,Not Allowed,Other
37,2015,CT,Adopted,Neurocranium; Viscerocranium; Cervical Spine; Shoulder,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,Facial Bones,Voxel Mask,48,,Open,Unknown,N/A
38,2023,CT,Original,Lumbar Spine,Lumbar Spine; Pelvis; Hip; Upper Leg,Lumbar Vertebrae,Voxel Mask,1,,Open,Allowed,CC BY 4.0
