Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,Canada,2024,9.3,,Yes,MRI,Original,,Cervical Spine; Thoracic Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine,Cranial Bones; Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,,,Available,,,60,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Allowed,CC0 1.0
,,,China,2024,159,,Yes,CT,Adopted,,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,,,Available,,,1005,Age; Gender,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Germany,2020,48.3,,Yes,CT,Original,,Cervical Spine; Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Hip; Upper Leg,Cervical Vertebrae; Thoracic Vertebrae; Lumbar Vertebrae,,,Available,,,355,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY-SA 4.0
,,,Sweden,2019,28,,Yes,CT,Adopted,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip; Upper Leg,Sacrum; Hip Bones; Proximal Femur,,,Available,,,90,Gender,,,Restricted,Allowed,,,Other
,,,China,2020,17,,Yes,CT,Original; Adopted,,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Lumbar Vertebrae; Sacrum; Hip Bones,,,Available,,,1184,,,,Open Access,Allowed,Allowed,Allowed; Restricted,CC BY 4.0; CC BY-NC-SA 4.0; inconsistency between download page and paper descriptions
,,,USA,2024,20.36,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,Thoracic Vertebrae; Lumbar Vertebrae,,,Available,,,55,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2016,3.4,,Yes,CT,Original,,Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Vertebrae; Lumbar Vertebrae,,,Available,,,20,Age; Gender; Orthopedic Relevant Condition,,,Open Access,Allowed,,,ODC-By v1.0
,,,China,2024,7.6,,Yes,CT,Original,,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Sacrum; Hip Bones,,,Available,,,100,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2024,305,,Yes,CT,Adopted,,Abdomen,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Proximal Femur,,,Available,,,9262,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,China,2022,7.39,,Yes,CT,Original,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg; Knee; Lower Leg,Proximal Femur,,,Available,,,150,,,,Open Access,Allowed,,,GNU v3.0; GNU General Public License v3.0
,,,China,2023,22.1,,Yes,CT,Original,,Neurocranium; Viscerocranium; Cervical Spine; Shoulder,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,Facial Bones,,,Available,,,140,Age; Gender; Clinical Condition,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,China,2024,31.2,,Yes,CT,Original; Adopted,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,Proximal Femur,,,Available,,,413,Gender; Clinical Condition,,,Restricted,Restricted,,,Other
,,,USA,2015,2.35,,Yes,CT,Adopted,,Neurocranium; Viscerocranium; Cervical Spine; Shoulder,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,Facial Bones,,,Available,,,48,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Italy,2023,12,,Yes,CT,Original,,Lumbar Spine,Lumbar Spine; Pelvis; Hip; Upper Leg,Lumbar Vertebrae,,,Available,,,1,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
